AKAddress,Chain,DApp,loss,time,VicAddress,AKTx
0x561d38206dD390e173B6236e6A2316687DfC31A9,bsc,MetaverseToken,1M,2022/10/16,0x2f3f25046ea518d1e524b8fb6147c656d6722ced,0xb1db9743efbc306d9ba7b5b892e5b5d7cc2319d85ba6569fed01892bb49ea499
0x83797825f6020A443B95Fa3932ab13Dd61d48b49,bsc,PlantWorld,24.5K,2022/10/17,0x29b2525e11bc0b0e9e59f705f318601ea6756645,0x8385625e9d8011f4ad5d023d64dc7985f0315b6a4be37424c7212fe4c10dafe0
0x80e5FC0d72e4814cb52C16A18c2F2B87eF1Ea2d4,bsc,HEALTH,8.8K,2022/10/20,0x32b166e082993af6598a89397e82e123ca44e74e,0xae8ca9dc8258ae32899fe641985739c3fa53ab1f603973ac74b424e165c66ccf
0xEb4c67E5BE040068FA477a539341d6aeF081E4Eb,polygon,Market,180K,2022/10/24,0x3dC7E6FF0fB79770FA6FB05d1ea4deACCe823943,0xb8efe839da0c89daa763f39f30577dc21937ae351c6f99336a0017e63d387558
0x9C5A2A6431523fBBC648fb83137A20A2C1789C56,eth,n00dleswap,31K,2022/10/25,0x3561081260186e69369e6c32f280836554292e08,0x8037b3dc0bf9d5d396c10506824096afb8125ea96ada011d35faa89fa3893aea
0x8523C7661850D0Da4D86587ce9674DA23369fF26,bsc,ULME,50K,2022/10/25,0xae975a25646e6eb859615d0a147b909c13d31fed,0xdb9a13bc970b97824e082782e838bdff0b76b30d268f1d66aac507f1d43ff4ed
0x450595E4A42cC08c14091B08DBab654A68B0a877,bsc,VTFToken,111K,2022/10/27,0xc6548caF18e20F88cC437a52B6D388b0D54d830D,0xeeaf7e9662a7488ea724223c5156e209b630cdc21c961b85868fe45b64d9b086
0x762d2A9f065304D42289f3f13Cc8EA23226d3b8C,eth,UPSToken,405K,2023/01/18,0x35a254223960c18B69C0526c46B013D022E93902,0x4b3df6e9c68ae482c71a02832f7f599ff58ff877ec05fed0abd95b31d2d7d912
0x558AF3ea4D08726221A7612c0aB32f5C94BFcc2b,bsc,BscAnt3,426K,2023/01/19,0x906e0becf3ffac20d248922f1cf27d54455fecc2,0x7360f073c246db7f28a65ace03045736f4b06d26ce9ea618b88491b991efd1ad
0x2021932C4Dde18727A827c15F4Bc0d6e7DE636aa,bsc,SHEEP,3K,2023/02/10,0x0025b42bfc22cbba6c02d23d4ec2abfcf6e014d4,0x61293c6dd5211a98f1a26c9f6821146e12fb5e20c850ad3ed2528195c8d4c98e
0xd360b416cE273AB2358419b1015aCf476a3b30d9,bsc,DYNA,23K,2023/02/22,0x5c0d0111ffc638802c9EfCcF55934D5C63aB3f79,0xc09678fec49c643a30fc8e4dec36d0507dae7e9123c270e1f073d335deab6cf0
0x559a352d205D5df7CD8021891aB9c680f7F278E2,bsc,ASKACRToken,28.4K,2023/03/21,0x5ae4b2f92f03717f3bdfe3b440d14d2f212d3745,0xc20fa4953ff394bb806a57cafe71d1163973c0e5a47bb8dad1703a518b15ea3b
0x1a14CCC8F353d16582c0DfaB907481b218475959,bsc,BIGFI,30K,2023/03/22,0xd3d4b46db01c006fb165879f343fc13174a1ceeb,0x9fe19093a62a7037d04617b3ac4fbf5cb2d75d8cb6057e7e1b3c75cbbd5a5adc
0xa1fAe685c8abF938EB706DedABbcfFbFf3b3D7Da,bsc,SFM,8M,2023/3/28,0x63db6ba9e512186c2faadacef342fb4a40dc577c,0x9c091724df891eaba98f3ddbd7df3ff8c2fd33ad59708c855f6a6eac63fe0162
0x52d74eb7C01C763219DCE713dA97EBAE8B91728E,eth,MultiChainCapital,18.9K,2023/05/09,0x1a7981d87e3b6a95c1516eb820e223fe979896b3,0xf72f1d10fc6923f87279ce6c0aef46e372c6652a696f280b0465a301a92f2e26
0x6943e74D1109A728F25A2E634ba3d74e9E476Aed,eth,HODLCapital,4.3K,2023/05/09,0x6943e74d1109a728f25a2e634ba3d74e9e476aed,0xedc214a62ff6fd764200ddaa8ceae54f842279eadab80900be5f29d0b75212df
0xf635FeA87f0A8a444edE1dBB698D875dBb417829,bsc,SellToken,95K,2023/05/11,0x274b3e185c9c8f4ddef79cb9a8dc0d94f73a7675,0x247e61bd0f41f9ec56a99558e9bbb8210d6375c2ed6efa4663ee6a960349b46d
0xA4Fbc2c95aC4240277313BF3f810c54309dFcd6C,bsc,LW,50K,2023/05/12,0x7b8c378df8650373d82ceb1085a18fe34031784f,0x96b34dc3a98cd4055a984132d7f3f4cc5a16b2525113b8ef83c55ac0ba2b3713
0x90Fa57D23b85cdD52C46b85636f44c47926ee2e3,bsc,CS,714K,2023/05/23,0x8bc6ce23e5e2c4f0a96429e3c9d482d74171215e,0x906394b2ee093720955a7d55bff1666f6cf6239e46bea8af99d6352b9687baa4
0x7c28E0977F72c5D08D5e1Ac7D52a34db378282B3,eth,EBPools,111K,2023/05/31,0x765b8d7cd8ff304f796f4b6fb1bcf78698333f6d,0x578a195e05f04b19fd8af6358dc6407aa1add87c3167f053beb990d6b4735f26
0x1e2A251b29e84e1d6D762C78a9db5113f5Ce7C48,bsc,Cellframe,76K,2023/06/01,0xf3e1449ddb6b218da2c9463d4594ceccc8934346,0x943c2a5f89bc0c17f3fe1520ec6215ed8c6b897ce7f22f1b207fea3f79ae09a6
0xf73B8EA8838CbA9148fB182e267a000f7CFbA8dd,eth,VINU,6K,2023/06/06,0xf7ef0d57277ad6c2babf87ab64ba61abdd2590d2,0xaf46a42fe1ed7193b25c523723dc047c7500e50a00ecb7bbb822d665adb3e1f3
0x98e241BD3BE918e0D927Af81B430be00D86B04F9,bsc,UN,26K,2023/06/06,0x1afa48b74ba7ac0c3c5a2c8b7e24eb71d440846f,0xff5515268d53df41d407036f547b206e288b226989da496fda367bfeb31c5b8b
0x8991A6FA4ee05d67520834C4Ec677740E3e8f588,bsc,SellToken,106K,2023/06/11,0x84Be9475051a08ee5364fBA44De7FE83a5eCC4f1,0xe968e648b2353cea06fc3da39714fb964b9354a1ee05750a3c5cc118da23444b
0x8213E87Bb381919B292ACE364d97D3a1Ee38CAA4,bsc,CFC,16K,2023/06/15,0xdd9b223aec6ea56567a62f21ff89585ff125632c,0xa3c130ed8348919f73cbefce0f22d46fa381c8def93654e391ddc95553240c1e
0x4b50a547B73739e9aA936ea90D2f15EaA967A20c,bsc,IPO,483K,2023/06/20,0xb524a9a21702813f8ea7a79c16afcb5fb4660544,0x6f678313d97bb7884f546f3a82fd80108eb76073fecad35ef1d76b6b47c65264
0xcDb3D057CA0cFDf630BAF3f90e9045dDEb9EA4cc,bsc,SHIDO,230K,2023/06/23,0xa963ee460cf4b474c35ded8fff91c4ec011fb640,0x72f8dd2bcfe2c9fbf0d933678170417802ac8a0d8995ff9a56bfbabe3aa712d6
0x724CEFeF59D673359bcA2b5A9DbA47e8Feb30b4D,bsc,LUSD,16K,2023/07/07,0x637de69f45f3b66d5389f305088a38109aa0cf7c,0x1eeef7b9a12b13f82ba04a7951c163eb566aa048050d6e9318b725d7bcec6bfa
0x5336a15F27B74f62Cc182388C005dF419FFB58b8,bsc,WGPT,80K,2023/07/12,0x1f415255f7e2a8546559a553e962de7bc60d7942,0x258e53526e5a48feb1e4beadbf7ee53e07e816681ea297332533371032446bfd
0x45aA258AD08eeeb841c1C02eCA7658f9Dd4779C0,bsc,ApeDAO,7K,2023/07/18,0xb47955b5b7eaf49c815ebc389850eb576c460092,0x8d35dfd9968ce61fb969ffe8dcc29eeeae864e466d2cb0b7d26ce63644691994
0x486cb3f61771Ed5483691dd65f4186DA9e37c68e,eth,ConicFinance,934K,2023/07/23,0x369cbc5c6f139b1132d3b91b87241b37fc5b971f,0x37acd17a80a5f95728459bfea85cb2e1f64b4c75cf4a4c8dcb61964e26860882
0xDA2CCfC4557BA55eAda3cBEbd0AEFfCf97Fc14CA,eth,Uwerx,324K,2023/08/02,0x4306b12f8e824ce1fa9604bbd88f2ad4f0fe3c54,0x3b19e152943f31fe0830b67315ddc89be9a066dc89174256e17bc8c2d35b5af8
0xA21a2B59d80dC42D332F778Cbb9eA127100e5d75,eth,Zunami,2M,2023/08/14,0xb40b6608b2743e691c9b54ddbdee7bf03cd79f1c,0x0788ba222970c7c68a738b0e08fb197e669e61f9b226ceec4cab9b85abe8cceb
0xb7FbF984A50cd7c66e6dA3448D68D9f3B7F24f33,eth,BTC20,30K,2023/08/19,0xe86df1970055e9caee93dae9b7d5fd71595d0e18,0xcdd93e37ba2991ce02d8ca07bf6563bf5cd5ae801cbbce3dd0babb22e30b2dbe
0x98C2e1E85F8bF737D9c1450dd26D4A4bf880B892,eth,EHIVE,15K,2023/08/21,0x4ae2cd1f5b8806a973953b76f9ce6d5fab9cdcfd,0xad818ec910def08c70ac519ab0fffa084b4178014a91cd8aa2f882d972a511c1
0x69ED5B59D977695650eC4B29E61c0Faa8cc0ed5C,bsc,GSS,24.8K,2023/08/24,0x37e42b961ae37883bac2fc29207a5f88efa5db66,0x4f8cb9efb3cc9930bd38af5f5d34d15ce683111599a80df7ae50b003e746e336
0x20Dcf125f0563417d257B98A116c3fea4F0B2DB2,bsc,EAC,6.3K,2023/08/29,0x64f291de10ecd36d5f7b64aaebc70943cface28e,0x477f9ee698ac8ae800ffa012ab52fd8de39b58996245c5e39a4233c1ae5f1baa
0x154863eb71De4a34F88Ea57450840eAB1c71abA6,eth,JumpFarm,4K,2023/09/05,0x39d8bcb39de75218e3c08200d95fde3a479d7a14,0x6189ad07894507d15c5dff83f547294e72f18561dc5662a8113f7eb932a5b079
0xe4fdb3f2ed8f0f755842b6ad7ce0c97969cb4b42,bsc,HCT,6.5K,2023/09/07,0x0fdfcfc398ccc90124a0a41d920d6e2d0bd8ccf5,0x84bd77f25cc0db493c339a187c920f104a69f89053ab2deabb93c35220e6dfc0
0x9d9820F10772FfceF842770b6581c07A97FED9e4,eth,UniclyNFT,6K,2023/09/16,0xd3c41c85be295607e8ea5c58487ec5894300ee67,0xc42fe1ce2516e125a386d198703b2422aa0190b25ef6a7b0a1d3c6f5d199ffad
0xa7Fe9c5D4b87b0d03E9bB99F4B4E76785de26b5D,bsc,KubSplit,78K,2023/09/24,0xc98e183d2e975f0567115cb13af893f0e3c0d0bd,0x2b0877b5495065e90d956e44ffde6aaee5e0fcf99dd3c86f5ff53e33774ea52d
0x216CcfD4fB3f2267677598f96Ef1Ff151576480C,bsc,BH,1.3M,2023/10/11,0xcc61cc9f2632314c9d452aca79104ddf680952b5,0xc11e4020c0830bcf84bfa197696d7bfad9ff503166337cb92ea3fade04007662
0x502b4A51ca7900F391d474268C907B110a277d6F,bsc,MicDao,13K,2023/10/18,0xf6876f6ab2637774804b85aecc17b434a2b57168,0x24a2fbb27d433d91372525954f0d7d1af7509547b9ada29cc6c078e732c6d075
0x99d4311f0d613c4d0cD0011709Fbd7eC1BF87Be9,bsc,UniverseToken,1.46M,2023/10/27,0x196eb1d21c05cc265ea0a1479e924e7983467838,0x54121ed538f27ffee2dbb232f9d9be33e39fdaf34adf993e5e019c00f6afd499
0x526e8E98356194b64EaE4C2d443cC8AAD367336f,eth,OnyxProtocol,2M,2023/11/01,0x5fdbcd61bc9bd4b6d3fd1f49a5d253165ea11750,0xf7c21600452939a81b599017ee24ee0dfd92aaaccd0a55d02819a7658a6ef635
0x783FBEa45b32eAAA596b44412041DD1208025E83,bsc,3913Token,31.3K,2023/11/02,0xd74f28c6e0e2c09881ef2d9445f158833c174775,0x8163738d6610ca32f048ee9d30f4aa1ffdb3ca1eddf95c0eba086c3e936199ed
0x03e7B13bcD9B8383f403696C1494845560607eCa,eth,Grok,56K,2023/11/10,0x8390a1DA07E376ef7aDd4Be859BA74Fb83aA02D5,0x3e9bcee951cdad84805e0c82d2a1e982e71f2ec301a1cbd344c832e0acaee813
0x87c75F8a69732bAd999CE1faB464526856215c77,bsc,Token8633,52K,2023/11/17,0x11cd2168fc420ae1375626655ab8f355f0075bd6,0xf6ec3c22b718c3da17746416992bac7b65a4ef42ccf5b43cf0716c82bffc2844
0x69BD13F775505989883768ebd23D528c708D6Bcf,bsc,ElephantStatus,165K,2023/12/06,0x8cf0a553ab3896e4832ebcc519a7a60828ab5740,0xd423ae0e95e9d6c8a89dcfed243573867e4aad29ee99a9055728cbbe0a523439
0xB5EEbf73448E22cE6a556f848360057f6Aadd4e7,bsc,BurnsDefi,67K,2024/02/05,0x4fb9657ac5d311dd54b37a75cfb873b127eb21fd,0x1d0af3a963682748493f21bf9e955ce3a950bee5817401bf2486db7a0af104b4
0x9A4B9FD32054bFE2099F2a0dB24932A4d5F38D0F,eth,GAIN,18K,2024/02/21,0xde59b88abefa5e6c8aa6d742eee0f887dab136ac,0x7acc896b8d82874c67127ff3359d7437a15fdb4229ed83da00da1f4d8370764e
0x014ee3c3de6941cb0202dd2b30c89309e874b114,bsc,Wall Street Memes,18K,2024/04/04,0xc0afd0e40bb3dcaebd9451aa5c319b745bf792b4,0x5a475a73343519f899527fdb9850f68f8fc73168073c72a3cff8c0c7b8a1e520
0xF5D943805284bFA9c58EB3D777Dd5791b5f9dA10,bsc,UPS,28K,2024/04/09,0x3da4828640ad831f3301a4597821cc3461b06678,0xd03702e17171a32464ce748b8797008d59e2dbcecd3b3847d5138414566c886d
0xe9067cdd89ed207c86ac044c76fd1eaab81b39cf,bsc,MARS,100K,2024/04/16,0x3dC7E6FF0fB79770FA6FB05d1ea4deACCe823943,0x25e2af0a55581d5629a933af9fedd3c70e6d0c320f0b72700ca80e5cdd36c80b
0x9C63d6328C8e989c99b8e01DE6825e998778B103,bsc,SATX,27.6K,2024/04/16,0xFd80a436dA2F4f4C42a5dBFA397064CfEB7D9508,0x7e02ee7242a672fb84458d12198fae4122d7029ba64f3673e7800d811a8de93f
0x61Dd07Ce0cEcF0d7BaCf5EB208C57D16bBdEE168,bsc,Z123,135K,2024/04/22,0xb000f121A173D7Dd638bb080fEe669a2F3Af9760,0xc0c4e99a76da80a4cf43d3110364840151226c0a197c1728bb60dc3f1b3a6a27
